area	file	baseline_test_declarations	final_test_declarations
CLI	crates/roci-cli/src/audio_cmd.rs	7	5
CLI	crates/roci-cli/src/chat.rs	6	6
CLI	crates/roci-cli/src/chat/mcp.rs	18	18
CLI	crates/roci-cli/src/chat/resource_prompt.rs	4	4
CLI	crates/roci-cli/src/chat/runtime_events.rs	5	5
CLI	crates/roci-cli/src/chat/subagents.rs	9	9
CLI	crates/roci-cli/src/chat/user_input.rs	3	3
CLI	crates/roci-cli/src/cli/auth.rs	16	16
CLI	crates/roci-cli/src/cli/mod.rs	48	48
CLI	crates/roci-cli/src/errors.rs	4	4
CLI	crates/roci-cli/src/models_cmd.rs	4	4
CLI	crates/roci-cli/src/session_cmd.rs	9	9
CLI	crates/roci-cli/src/skills_cmd.rs	2	2
CLI	crates/roci-cli/src/tool_contracts_smoke.rs	3	3
CLI	crates/roci-cli/tests/audio_cli.rs	4	4
CLI	crates/roci-cli/tests/auth_cli_unix.rs	1	1
Core runtime and agent loop	crates/roci-core/src/agent/core_tests.rs	5	5
Core runtime and agent loop	crates/roci-core/src/agent/message.rs	7	7
Core runtime and agent loop	crates/roci-core/src/agent/runtime/chat/event.rs	1	1
Core runtime and agent loop	crates/roci-core/src/agent/runtime/chat/jsonl_store.rs	6	6
Core runtime and agent loop	crates/roci-core/src/agent/runtime/chat/projector.rs	2	2
Core runtime and agent loop	crates/roci-core/src/agent/runtime/chat/store.rs	6	6
Core runtime and agent loop	crates/roci-core/src/agent/runtime/config.rs	4	4
Core runtime and agent loop	crates/roci-core/src/agent/runtime/events.rs	3	3
Core runtime and agent loop	crates/roci-core/src/agent/runtime/lifecycle.rs	1	1
Core runtime and agent loop	crates/roci-core/src/agent/runtime/run_loop.rs	3	3
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/api_key.rs	3	3
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/before_agent_start.rs	3	3
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/budget.rs	4	4
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/chat_cancel.rs	5	5
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/chat_contracts.rs	8	8
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/chat_projection.rs	24	24
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/chat_runtime.rs	29	29
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/chat_subscription.rs	10	9
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/compaction_and_branch_summary.rs	4	4
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/queue_and_continue.rs	5	5
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/session.rs	14	14
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/session_before_compact.rs	5	5
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/session_before_tree.rs	2	2
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/session_recovery.rs	12	12
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/snapshot.rs	6	6
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/state_lifecycle.rs	32	32
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/subagent_events.rs	5	5
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/subagent_host_api.rs	3	3
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/subagent_profiles.rs	17	17
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/subagent_supervisor.rs	20	20
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/tools_and_dynamic.rs	13	13
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/user_input_runtime.rs	2	2
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/value_types.rs	2	2
Core runtime and agent loop	crates/roci-core/src/agent/runtime_tests/workspace.rs	3	3
Core runtime and agent loop	crates/roci-core/src/agent/subagents/config.rs	10	10
Core runtime and agent loop	crates/roci-core/src/agent/subagents/context.rs	10	10
Core runtime and agent loop	crates/roci-core/src/agent/subagents/events.rs	4	4
Core runtime and agent loop	crates/roci-core/src/agent/subagents/handle.rs	4	3
Core runtime and agent loop	crates/roci-core/src/agent/subagents/launcher.rs	11	11
